conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1889589468958478831,Wed Feb 12 08:16:50 +0000 2025,1513,Yuk #KaburAjaDulu aja guys talenta lu disini ga diapresiasi dan dihargai. ga akan diliat lu nepotisme disini udah mendarah daging. Nasionalisme disini belakangan jadi kerangkeng aja.,1889589468958478831,https://pbs.twimg.com/amplify_video_thumb/1889589415384850434/img/nks9WYz_hl-00EaQ.jpg,,in,,142,104,356,https://x.com/raffimulyaa/status/1889589468958478831,4748253918,raffimulyaa
1889570774199181785,Wed Feb 12 07:02:33 +0000 2025,2773,Memahami #KaburAjaDulu itu soal mencari kehidupan yg lebih baik karena di negara ini apa apa sulit kepastian hukum gak jelas pemerintah ga becus ekonomi buruk diperes pajak gede gak dapet apa apa. Jadi gausah bacot kalau yang pergi ke luar gak nasionalisme lah negaranya aja,1889570774199181785,,,in,Indonesia,36,30,825,https://x.com/barengwarga/status/1889570774199181785,1850558971779956736,barengwarga
1889556086019051921,Wed Feb 12 06:04:11 +0000 2025,2507,Di kala perbincangan #kaburajadulu ini satu hal yg menarik adalah aku kenal banyak temen yang pengen #pulangajadeh karena alasan keluarga: keluarga sakit orangtua menua dan paling common adalah... child care,1889556086019051921,,,in,Somewhere,106,44,281,https://x.com/nmonarizqa/status/1889556086019051921,22586190,nmonarizqa
1889531496337383440,Wed Feb 12 04:26:29 +0000 2025,14142,+1 alasan buat #KaburAjaDulu: Walau gajimu medioker kayak sindiran orang2 di sini kirain yang ngejar kaburajadulu itu ngejar gaji ratusan juta coba kerja dan tinggal di negara yang pemerintahnya beneran kerja dan rasakan kualitas hidup yang lebih baik. Ga akan nyesal.,1889531496337383440,,,in,"Busan, Republic of Korea",215,135,2857,https://x.com/primawansatrio/status/1889531496337383440,104823513,primawansatrio
1889497350089138648,Wed Feb 12 02:10:48 +0000 2025,9435,Guys kalian yg punya socmed lain pada sadar ga belakangan ini tagar #KaburAjaDulu makin sering lewat di reels dan tiktok? Trus nemu pejabat yg bilang kalo kabur ke LN artinya ga nasionalis Apakah tren ini udah makin rame dan makin bikin gerah para pejabat?,1889497350089138648,,,in,Japan,333,244,1385,https://x.com/petitestardust/status/1889497350089138648,223749265,petitestardust
1889489723640648087,Wed Feb 12 01:40:29 +0000 2025,424,Maakk aku masuk berita BBC indonesia 2019 mencium bau-bau mulyono mau petakilan langsung cusss #KaburAjaDulu,1889489723640648087,https://pbs.twimg.com/media/GjjQ36AbsAI67al.jpg,,in,+82,3,20,41,https://x.com/josephpradipta/status/1889489723640648087,75063658,josephpradipta
1889397252852162711,Tue Feb 11 19:33:03 +0000 2025,2328,Betul #KaburAjaDulu bukan karena hanya gaji yang kelihatan shining simmering splendid tapi karena emang muak aja sama pemerintah. Dulu katanya kalo mau negubah dari dalam masuklah ke comberan dan got2 itu sekarang mendingan mengubah dari luar negeri mengikuti para diaspora,1889397252852162711,,,in,Indonesia,18,32,729,https://x.com/hrdbacot/status/1889397252852162711,501800437,hrdbacot
1889317950169231637,Tue Feb 11 14:17:55 +0000 2025,84,I know #KaburAjaDulu itu tempting pake banget. Tapi apa gak takut kalo tiba-tiba dapet telpon jam 3 pagi dapet kabar Ibu meninggal?,1889317950169231637,,,in,Jakarta Capital Region,25,23,16,https://x.com/BanyuSadewa/status/1889317950169231637,55108943,BanyuSadewa
1889238712204029975,Tue Feb 11 09:03:04 +0000 2025,529,Apakah kamu profesional di bidang Data &amp; ingin kerja di Eropa? Di Thursday #KaburAjaDulu minggu ini admin akan post curated list of jobs di bidang Data. Ini bukan lowongan abal2. Ini hasil riset admin &amp; hanya company yg sponsor visa + support relocation + provide career,1889238712204029975,,,in,Europe,4,24,90,https://x.com/IndoWorkAbroad/status/1889238712204029975,1252241356883406848,IndoWorkAbroad
1889224547762889068,Tue Feb 11 08:06:46 +0000 2025,2608,[BREAKING NEWS‼️] Squidward diangkat sebagai Staf Khusus (Stafsus) Menteri Pertahanan Selasa (11/2/2025). Squidward dilantik setelah pembelaannya terhadap Program Makan Krabby Patty Gratis beberapa waktu lalu. #KaburAjaDulu,1889224547762889068,https://pbs.twimg.com/media/GjfftB4acAAH3o0.jpg,,in,"Niigata-ken, Japan",8,34,712,https://x.com/el_avraham/status/1889224547762889068,77971073,el_avraham
