conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,latitude,longitude,detected_country
1892360907642040655,Wed Feb 19 23:49:33 +0000 2025,42,Tren #KaburAjaDulu Gubernur Lemhanas Ingatkan Pentingnya Nilai Kebangsaan https://t.co/GQ7WbbRMIZ,1892360907642040655,,,in,Indonesia,13,80,18,https://x.com/geloraco/status/1892360907642040655,3319260420,geloraco,-2.4833826,117.8902853,Indonesia
1892258117720953030,Wed Feb 19 17:01:06 +0000 2025,119,Mau nandingin #KaburAjaDulu sama #/PergiMigranPulangJuragan https://t.co/JhgQL9cXnS,1892258117720953030,https://pbs.twimg.com/ext_tw_video_thumb/1892258066521083905/pu/img/La6T7ICCLEfj32zP.jpg,,in,Indonesia ,10,76,26,https://x.com/Mdy_Asmara1701/status/1892258117720953030,1334853481019056128,Mdy_Asmara1701,-2.4833826,117.8902853,Indonesia
1892256498694107600,Wed Feb 19 16:54:40 +0000 2025,11105,Sebuah hasil kerandoman hari ini hasil dari #KaburAjaDulu Ketemu Bang Jay (Idzes) dan ngobrol sore cukup lama sama beliau. Ramah banget beliau demiiiiii ganyangka seramah ini orangnya!!!! https://t.co/T0AdQ8zoDj,1892256498694107600,https://pbs.twimg.com/media/GkKlOxFXwAA3VGB.jpg,,in,"Veneto, Italia",272,198,973,https://x.com/inidebi/status/1892256498694107600,1063147708809076736,inidebi,45.6476663,11.8665254,Italia
1892193838749331684,Wed Feb 19 12:45:41 +0000 2025,701,Jadi kalau #kaburajadulu kita akan dianggap sebagai warga kelas Dua ? Pak apa seniman seperti saya (yang bukan influencer atau buzzer dgn jutaan followers) bisa dianugerahi penghargaan sipil tertinggi dari negara? Ini saya di negeri orang loh pak. https://t.co/3BPFielIUN,1892193838749331684,,,in,Spain,7,54,234,https://x.com/anandasukarlan/status/1892193838749331684,32504174,anandasukarlan,39.3260685,-4.8379791,España
1892187437654503701,Wed Feb 19 12:20:14 +0000 2025,25,Renungan akhir2 ini #KaburAjaDulu https://t.co/TnVFNRX62S,1892187437654503701,https://pbs.twimg.com/media/GkJmckMa4AEpKJ0.jpg,,in,"Kota Surabaya, Jawa Timur",0,18,1,https://x.com/ayamgeprek2023/status/1892187437654503701,1622917969985810432,ayamgeprek2023,-7.2459717,112.7378266,Indonesia
1892169944965493207,Wed Feb 19 11:10:44 +0000 2025,283,Mereka bikin kampanye Indonesia Gelap dalam berbagai bahasa. Nanti banyak negara justru memandang rendah WNI efeknya mau #KaburAjaDulu malah ditolak di banyak negara. Buntutnya nyalahin pemerintah lagi. Kan lawak banget.,1892169944965493207,,,in,"Bali, Indonesia",15,156,54,https://x.com/blisonny/status/1892169944965493207,1760157328291270657,blisonny,-8.2271303,115.1919203,Indonesia
1892147874563305670,Wed Feb 19 09:43:02 +0000 2025,71,Duh masa ada yg kirim gambar ini ktnya ternyata ini salah satu dari penggagas hesteg #KaburAjaDulu? Ngakak atuh saha ieu teh? ‍️‍️ https://t.co/kzu63jIqwT,1892147874563305670,https://pbs.twimg.com/media/GkJCdeWbQAAB9qB.jpg,,in,Indonesia,2,36,26,https://x.com/AdamVelcro/status/1892147874563305670,267795457,AdamVelcro,-2.4833826,117.8902853,Indonesia
1892127844693631240,Wed Feb 19 08:23:26 +0000 2025,368,Halo rekan2 semua Menyambut Ramadan 1446H saya mengadakan 20 sesi konsultasi CS &amp; Data Master/PhD Scholarship GRATIS Semoga bisa dihitung sedekah di bulan suci nanti. Terima kasih #KaburAjaDulu #Ramadan2025 #Ramadan1446 https://t.co/2hf46HMbaG,1892127844693631240,https://pbs.twimg.com/media/GkIvibyWIAAJ5xl.jpg,,in,Wageningen 🇳🇱,15,21,137,https://x.com/rmdn_hani/status/1892127844693631240,107827019,rmdn_hani,51.9663016,5.6662814,Nederland
1892021293987606833,Wed Feb 19 01:20:03 +0000 2025,3188,Tamparan keras buat saya pribadi dan para ayah yang membuat Indonesia terkenal sebagai fatherless country Saat kerja di Indo bisa make time sama anak hanya 2-3 jam sehari setelah #KaburAjaDulu bisa main sama anak 7-8 jam sehari Beberapa alasan: - Commute time singkat 20 https://t.co/skOPJaa8Z4,1892021293987606833,https://pbs.twimg.com/media/GkHPVGFaAAAhki6.jpg,,in,Jakarta,61,26,963,https://x.com/girikuncoro/status/1892021293987606833,136962040,girikuncoro,-6.1754049,106.827168,Indonesia
1891889397777281097,Tue Feb 18 16:35:56 +0000 2025,35,Viral #KaburAjaDulu Wamenaker: Mau Kabur Kabur Saja Kalau Perlu Jangan Balik Lagi https://t.co/sQ4OtfQQUz,1891889397777281097,,,in,Indonesia,8,51,18,https://x.com/geloraco/status/1891889397777281097,3319260420,geloraco,-2.4833826,117.8902853,Indonesia
1891850290019651687,Tue Feb 18 14:00:32 +0000 2025,24,#IndonesiaGelap #IndonesiaGelap2025 Mending kata aku mh #KaburAjaDulu #KaburDuluAja Indonesia tidak baik2 aja,1891850290019651687,,,in,"Sukabumi, Indonesia",0,20,1,https://x.com/putr1432/status/1891850290019651687,1691307345807282176,putr1432,-6.9199289,106.9265095,Indonesia
1891849795767013594,Tue Feb 18 13:58:34 +0000 2025,1145,Yang boros siapa yang dituduh korupsi Jokowi. Anak-anak abah mending #KaburAjaDulu https://t.co/4Nf1a2nSYT,1891849795767013594,https://pbs.twimg.com/media/GkEzWxjWIAAxUzN.jpg,,in,"Bali, Indonesia",70,408,212,https://x.com/blisonny/status/1891849795767013594,1760157328291270657,blisonny,-8.2271303,115.1919203,Indonesia
1891831302883864995,Tue Feb 18 12:45:05 +0000 2025,2720,#kaburajadulu tagar ini membuat Para Pembantu Presiden RI ke 8 Jenderal TNI AD Kopassus Purn Bpk Prabowo Subiyanto Kebakaran Jenggot sampai tidak malu mengatakan pergi saja dan tidak usah kembali lagi. Mereka dulu lupa ya Pak Prabowo pernah Kabur ke Luar Negeri Yordania dan,1891831302883864995,,,in,Jakarta,31,233,603,https://x.com/ruhutsitompul/status/1891831302883864995,219244515,ruhutsitompul,-6.1754049,106.827168,Indonesia
1891828386533695660,Tue Feb 18 12:33:30 +0000 2025,3338,Gaperlu #kaburajadulu untuk bisa gaji USD! Bisa kok kerja remote $$ dari Indo tanpa visa. Udah 40+ orang dapet kerja remote internasional lewat FullFind di Fortune500 produser Mr Beast dll. Gua buat video penjelasan GRATIS. Mau? RT &amp; Reply FF - gua dm (hrs follow) https://t.co/CKe4XubBmp,1891828386533695660,https://pbs.twimg.com/media/GkEf5ByWMAAvsUv.jpg,,in,"Jakarta Capital Region, Indonesia",38,903,1024,https://x.com/Calvin_0619/status/1891828386533695660,421013140,Calvin_0619,-6.1166622,106.7786307,Indonesia
1891812247422308471,Tue Feb 18 11:29:22 +0000 2025,362,Aspirasi #KaburAjaDulu sudah disampaikan ,1891812247422308471,,,in,Singapore,1,23,23,https://x.com/ainunnajib/status/1891812247422308471,35167068,ainunnajib,1.357107,103.8194992,Singapore
1891802162872696939,Tue Feb 18 10:49:18 +0000 2025,86,Bukan karena kurang cinta tanah air tapi karena kurang dihargai di negara sendiri yg jadi alasan #KaburAjaDulu https://t.co/oWL4cLET8K,1891802162872696939,https://pbs.twimg.com/amplify_video_thumb/1891802073534251008/img/VWiCvXtsqB_VMMca.jpg,,in,Anywhere,1,13,13,https://x.com/eleanorr234/status/1891802162872696939,185084341,eleanorr234,-14.1601396,33.8624178,Malawi
1891801760341151838,Tue Feb 18 10:47:42 +0000 2025,597,Stlh sy lulus S3 di Groningen mau balik kok belum ada kerjaan di Indonesia jadinya lanjut #KaburAjaDulu ke Amsterdam selama 5 tahun. Sambil kerja di sebuah start up saya mulai coding untuk implementasi ilmu yg saya dapat saat S3. Dari situ lahir baby Drone Emprit. https://t.co/eWnWWjcvqD,1891801760341151838,https://pbs.twimg.com/media/GkEGpRTaAAAQUcl.jpg,,in,"Jakarta Selatan, DKI Jakarta",4,18,90,https://x.com/ismailfahmi/status/1891801760341151838,34075325,ismailfahmi,-6.28381815,106.80486325728526,Indonesia
1891794726321340786,Tue Feb 18 10:19:45 +0000 2025,816,Kenapa pejabat bisa se-reckless ini ya kalau ngasih statement. Sebagian orang yang #KaburAjaDulu itu Pekerja Migran Indonesia lho. Penyumbang devisa terbesar kedua setelah sektor migas dengan kontribusi sekitar 160-170T per tahun. Nggak tahu diri banget komentar kayak gini.,1891794726321340786,,,in,"Yogyakarta, Indonesia",2,15,301,https://x.com/nabiylarisfa/status/1891794726321340786,37574084,nabiylarisfa,-7.8011998,110.3646608,Indonesia
1891783172486017209,Tue Feb 18 09:33:50 +0000 2025,14651,Kalau gak bisa #KaburAjaDulu Kita #LawanAjaDulu #IndonesiaGelap Sampai jumpa hari Kamis.,1891783172486017209,,,in,"Pondok Cina, Depok",36,53,5566,https://x.com/neohistoria_id/status/1891783172486017209,1495326248100589569,neohistoria_id,-6.3690593,106.8320844,Indonesia
1891759292702724236,Tue Feb 18 07:58:57 +0000 2025,430,Saya diminta bicara di acara ini. Biasanya saya tolak undangan karena pengin menepi dan menyepi. Kali ini kok sulit kabur dari topik #KaburAjaDulu https://t.co/C8IT0KnDcS,1891759292702724236,https://pbs.twimg.com/media/GkDhCs-aEAAtnc4.jpg,,in,Jakarta Indonesia,11,121,77,https://x.com/prastow/status/1891759292702724236,88581196,prastow,-6.1754049,106.827168,Indonesia
1891745044589068649,Tue Feb 18 07:02:20 +0000 2025,152,Menteri Ketenagakerjaan Yassierli menyebut tagar #KaburAjaDulu yang ramai di media sosial sebagai tantangan bagi pemerintah untuk menciptakan lapangan kerja yang lebih baik di dalam negeri. ~SA #KaburAjaDulu #Menaker https://t.co/EOmQHUY1jJ,1891745044589068649,,,in,Jakarta,28,57,39,https://x.com/kompascom/status/1891745044589068649,23343960,kompascom,-6.1754049,106.827168,Indonesia
1891727992348365101,Tue Feb 18 05:54:34 +0000 2025,89,Nusron Wahid Respons #KaburAjaDulu: Itu Menandakan Kurang Cinta Tanah Air. SETUJU PAKE BANGET - - https://t.co/cF7nelX3Xi https://t.co/cbfhdRfY1m,1891727992348365101,https://pbs.twimg.com/media/GkDB0jSaAAES3j3.jpg,,in,Sweet home,15,186,20,https://x.com/__LOVE_AG4EVER/status/1891727992348365101,799023207294504960,__LOVE_AG4EVER,44.3976247,-122.736195,United States
1891717022544769196,Tue Feb 18 05:10:59 +0000 2025,3839,Sebuah catatan untuk yang tertarik #KaburAjaDulu ke Jepang menggunakan visa gijinkoku* (Engineer/Specialist in Humanities/International Services). *hanya bisa didapatkan oleh lulusan S1 atau experienced &gt;10 tahun di bidang kerja yang sama. https://t.co/TYYPJXItaS,1891717022544769196,https://pbs.twimg.com/media/GkC6mtDacAAaDRx.jpg,,in,"Tokyo-to, Japan",48,43,829,https://x.com/sisthaaaaa/status/1891717022544769196,61684120,sisthaaaaa,35.6768601,139.7638947,日本
1891714838499323977,Tue Feb 18 05:02:18 +0000 2025,69,Tren #KaburAjaDulu menuai respons dari beberapa pejabat Kabinet Merah Putih. Teranyar Wamenaker Immanuel Ebenezer Gerungan mempersilakan WNI yang ingin pergi ke luar negeri untuk bekerja dan menyarankan untuk tidak usah kembali lagi ke Tanah Air. https://t.co/HcT2AgARvY,1891714838499323977,https://pbs.twimg.com/media/GkC4nfFaAAAkoqC.jpg,,in,Jakarta Capital Region,13,28,11,https://x.com/asumsico/status/1891714838499323977,829366551446818816,asumsico,-6.1754049,106.827168,Indonesia
1891670264091386016,Tue Feb 18 02:05:11 +0000 2025,62, Mau kabur kabur sajalah. Kalau perlu jangan balik lagi hi-hi-hi ujar Immanuel Ebenezer. | #KaburAjaDulu https://t.co/sX3rttdAD7,1891670264091386016,,,in,Jakarta,22,103,17,https://x.com/kompascom/status/1891670264091386016,23343960,kompascom,-6.1754049,106.827168,Indonesia
1891667194116776098,Tue Feb 18 01:52:59 +0000 2025,929,Perbincangan #KaburAjaDulu semenjak keluar Twitter jadi ga asik ,1891667194116776098,,,in,Somewhere,17,16,125,https://x.com/nmonarizqa/status/1891667194116776098,22586190,nmonarizqa,51.537514900000005,-0.2029210968628264,United Kingdom
1891653721848959287,Tue Feb 18 00:59:27 +0000 2025,219,Kalau ada oknum pejabat or pemerintah yg akal nya kurang waras solusi nya bukan #KaburAjaDulu Tapi kompak kulik dia dan sekeluarga nya kulik keuangan nya ada korupsi ga ada pelanggaran hukum ga ada kkn ga kalo ada viralin sampe masuk penjara ! Kabur bukan solusi LAWAN,1891653721848959287,,,in,"Bali, Indonesia",3,60,27,https://x.com/Cryptorealis/status/1891653721848959287,1132916343752159232,Cryptorealis,-8.2271303,115.1919203,Indonesia
1891626706643107876,Mon Feb 17 23:12:06 +0000 2025,297,INDONESIA GELAP Itu pandangan mahasiswa pandangan anak anak muda Indonesia. Mereka pesimis dengan keadaan sekarang dan masa depan. Pikiran pesimis itu tercermin dalam tagar #IndonesiaGelap dan tagar #KaburAjaDulu yang ramai dan trending di Medsos. Inilah ekspresi kekesalan anak https://t.co/peSa8oVv8o,1891626706643107876,https://pbs.twimg.com/amplify_video_thumb/1891626631980343296/img/4BeDVoBuq_tPpgqs.jpg,,in,"Kota Surabaya, Jawa Timur. ",3,42,124,https://x.com/henrysubiakto/status/1891626706643107876,201554665,henrysubiakto,-7.2459717,112.7378266,Indonesia
